CLIENTNUM,segment_id,customer_value,churn_score,churn_prob_calibrated,quadrant_official,threshold_official_risk,threshold_official_value,expected_saving,target_priority
708174708,4,1764.000000,0.029346,0.006887,accept_churn,0.132753,3899.000000,-1.355328,9019
708176208,3,4199.000000,0.000546,0.005518,low_cost_keep,0.132753,3899.000000,1.950802,6706
708177333,4,1158.000000,0.002475,0.005600,accept_churn,0.132753,3899.000000,-3.054419,10101
708178608,2,4226.000000,0.018565,0.006339,low_cost_keep,0.132753,3899.000000,3.036517,4748
708185208,4,2010.000000,0.167502,0.019817,watch,0.132753,3899.000000,6.949718,3648
708186933,4,2254.000000,0.920859,0.873631,watch,0.132753,3899.000000,585.749045,987
708190158,4,2750.000000,0.980206,0.916298,watch,0.132753,3899.000000,750.945767,401
708193008,4,1616.000000,0.460665,0.163736,watch,0.132753,3899.000000,74.379159,1994
708195633,4,2440.000000,0.719872,0.593109,watch,0.132753,3899.000000,429.155741,1383
708197358,2,7784.000000,0.978164,0.915077,save_first,0.132753,3899.000000,2131.887591,143
708204033,2,4132.000000,0.000690,0.005524,low_cost_keep,0.132753,3899.000000,1.847480,6881
708205083,3,4815.000000,0.002488,0.005601,low_cost_keep,0.132753,3899.000000,3.090628,4671
708207783,3,4680.000000,0.002362,0.005596,low_cost_keep,0.132753,3899.000000,2.856158,5023
708208758,4,2199.000000,0.078446,0.010042,accept_churn,0.132753,3899.000000,1.624517,7266
708211383,3,3906.000000,0.003875,0.005661,low_cost_keep,0.132753,3899.000000,1.633698,7252
708212658,4,1799.000000,0.026216,0.006723,accept_churn,0.132753,3899.000000,-1.371416,9030
708216108,4,2250.000000,0.000732,0.005526,accept_churn,0.132753,3899.000000,-1.270117,8990
708217758,4,1606.000000,0.000274,0.005506,accept_churn,0.132753,3899.000000,-2.347079,9612
708219108,3,7300.000000,0.067566,0.009238,low_cost_keep,0.132753,3899.000000,15.230546,3085
708219858,3,4295.000000,0.002507,0.005602,low_cost_keep,0.132753,3899.000000,2.217916,6177
708222558,2,4191.000000,0.000163,0.005502,low_cost_keep,0.132753,3899.000000,1.917143,6772
708223383,4,2736.000000,0.959057,0.902848,watch,0.132753,3899.000000,736.057885,421
708224133,2,4431.000000,0.004285,0.005679,low_cost_keep,0.132753,3899.000000,2.549116,5563
708225483,2,4246.000000,0.000184,0.005502,low_cost_keep,0.132753,3899.000000,2.009058,6593
708226833,1,13247.000000,0.003958,0.005665,low_cost_keep,0.132753,3899.000000,17.512312,2958
708229308,2,6059.000000,0.931093,0.882125,save_first,0.132753,3899.000000,1598.438961,211
708231183,3,2643.000000,0.023990,0.006609,accept_churn,0.132753,3899.000000,0.240400,8484
708234558,2,4540.000000,0.000571,0.005519,low_cost_keep,0.132753,3899.000000,2.516730,5623
708238833,4,1387.000000,0.058515,0.008618,accept_churn,0.132753,3899.000000,-1.414147,9042
708241233,4,922.000000,0.993775,0.924014,watch,0.132753,3899.000000,250.582170,1614
708242283,3,3253.000000,0.002402,0.005597,accept_churn,0.132753,3899.000000,0.462382,8376
708243483,4,2248.000000,0.288896,0.049219,watch,0.132753,3899.000000,28.193080,2202
708244458,3,3485.000000,0.000488,0.005515,accept_churn,0.132753,3899.000000,0.766322,8177
708245808,1,13908.000000,0.000961,0.005535,low_cost_keep,0.132753,3899.000000,18.096242,2890
708248358,1,14863.000000,0.001247,0.005548,low_cost_keep,0.132753,3899.000000,19.736553,2602
708249708,4,1489.000000,0.045196,0.007780,accept_churn,0.132753,3899.000000,-1.524831,9094
708252108,3,4065.000000,0.004425,0.005685,low_cost_keep,0.132753,3899.000000,1.933054,6744
708253458,2,4857.000000,0.000563,0.005519,low_cost_keep,0.132753,3899.000000,3.041051,4744
708254733,3,5171.000000,0.001852,0.005574,low_cost_keep,0.132753,3899.000000,3.646363,4109
708255633,2,3240.000000,0.007819,0.005836,accept_churn,0.132753,3899.000000,0.672301,8248
708260208,3,4321.000000,0.000249,0.005505,low_cost_keep,0.132753,3899.000000,2.136418,6340
708266883,4,2312.000000,0.998261,0.926417,watch,0.132753,3899.000000,637.563026,766
708267858,4,2098.000000,0.003642,0.005651,accept_churn,0.132753,3899.000000,-1.443266,9054
708269583,2,4014.000000,0.000351,0.005510,low_cost_keep,0.132753,3899.000000,1.634584,7249
708271833,2,3464.000000,0.003229,0.005633,accept_churn,0.132753,3899.000000,0.853823,8108
708272808,2,3542.000000,0.031231,0.006988,accept_churn,0.132753,3899.000000,2.425144,5797
708273858,2,3734.000000,0.000385,0.005511,accept_churn,0.132753,3899.000000,1.173386,7830
708276183,4,1554.000000,0.998824,0.926714,watch,0.132753,3899.000000,427.034116,1386
708281433,2,3848.000000,0.000993,0.005537,accept_churn,0.132753,3899.000000,1.391766,7587
708285108,1,13505.000000,0.000165,0.005502,low_cost_keep,0.132753,3899.000000,17.289915,2977
708286683,3,4884.000000,0.000894,0.005533,low_cost_keep,0.132753,3899.000000,3.106396,4654
708288108,4,647.000000,0.999363,0.926997,watch,0.132753,3899.000000,174.930134,1813
708290208,3,3118.000000,0.001336,0.005551,accept_churn,0.132753,3899.000000,0.192867,8501
708291633,3,5097.000000,0.000521,0.005517,low_cost_keep,0.132753,3899.000000,3.435653,4273
708292833,2,2754.000000,0.160581,0.018802,watch,0.132753,3899.000000,10.534492,3223
708295533,4,1215.000000,0.003786,0.005657,accept_churn,0.132753,3899.000000,-2.937940,10056
708296883,4,1178.000000,0.000679,0.005523,accept_churn,0.132753,3899.000000,-3.048006,10098
708298233,4,1756.000000,0.675090,0.507501,watch,0.132753,3899.000000,262.351571,1594
708300483,4,704.000000,0.985412,0.919339,watch,0.132753,3899.000000,189.164347,1781
708301683,2,8038.000000,0.202612,0.025850,save_first,0.132753,3899.000000,57.333770,2047
708303108,3,4940.000000,0.000041,0.005496,low_cost_keep,0.132753,3899.000000,3.145653,4600
708307533,2,4129.000000,0.001640,0.005564,low_cost_keep,0.132753,3899.000000,1.892737,6815
708313608,4,2110.000000,0.046704,0.007870,accept_churn,0.132753,3899.000000,-0.018059,8594
708314808,4,1570.000000,0.044009,0.007709,accept_churn,0.132753,3899.000000,-1.369050,9029
708316008,4,1792.000000,0.998847,0.926726,watch,0.132753,3899.000000,493.208025,1264
708319908,2,8667.000000,0.964777,0.906666,save_first,0.132753,3899.000000,2352.422003,91
708323208,4,2241.000000,0.969396,0.909649,watch,0.132753,3899.000000,606.557286,898
708324483,3,4420.000000,0.002157,0.005587,low_cost_keep,0.132753,3899.000000,2.407960,5829
708330858,4,678.000000,0.993329,0.923771,watch,0.132753,3899.000000,182.894934,1798
708331758,2,3725.000000,0.006421,0.005773,accept_churn,0.132753,3899.000000,1.451564,7505
708332808,1,14381.000000,0.003052,0.005625,low_cost_keep,0.132753,3899.000000,19.269410,2688
708334158,2,3068.000000,0.063084,0.008925,accept_churn,0.132753,3899.000000,3.214893,4507
708337683,2,3820.000000,0.011520,0.006004,accept_churn,0.132753,3899.000000,1.881008,6832
708338958,2,3797.000000,0.000096,0.005499,accept_churn,0.132753,3899.000000,1.263589,7740
708340758,3,8109.000000,0.997797,0.926172,save_first,0.132753,3899.000000,2248.098591,122
708341958,2,4480.000000,0.000138,0.005500,low_cost_keep,0.132753,3899.000000,2.392667,5856
708344358,4,1311.000000,0.012329,0.006042,accept_churn,0.132753,3899.000000,-2.623727,9839
708347583,4,1804.000000,0.030559,0.006952,accept_churn,0.132753,3899.000000,-1.237742,8980
708354858,3,8192.000000,0.824053,0.765612,save_first,0.132753,3899.000000,1876.568688,189
708355683,2,2976.000000,0.075577,0.009823,accept_churn,0.132753,3899.000000,3.770161,4037
708357183,2,3511.000000,0.025011,0.006661,accept_churn,0.132753,3899.000000,2.016326,6576
708358683,4,1665.000000,0.053739,0.008307,accept_churn,0.132753,3899.000000,-0.850465,8861
708360108,2,4869.000000,0.000077,0.005498,low_cost_keep,0.132753,3899.000000,3.030830,4753
708361833,2,3650.000000,0.002388,0.005597,accept_churn,0.132753,3899.000000,1.128363,7861
708367908,2,4390.000000,0.000251,0.005505,low_cost_keep,0.132753,3899.000000,2.250459,6118
708369633,3,7031.000000,0.992008,0.923047,save_first,0.132753,3899.000000,1941.983346,184
708371733,2,4931.000000,0.000902,0.005533,low_cost_keep,0.132753,3899.000000,3.184929,4548
708373083,4,2032.000000,0.991465,0.922748,watch,0.132753,3899.000000,557.507138,1087
708375858,3,4318.000000,0.002433,0.005599,low_cost_keep,0.132753,3899.000000,2.252452,6117
708376983,4,2119.000000,0.937812,0.887429,watch,0.132753,3899.000000,559.138786,1083
708378108,3,4631.000000,0.000842,0.005530,low_cost_keep,0.132753,3899.000000,2.683419,5315
708382083,2,2584.000000,0.364729,0.085201,watch,0.132753,3899.000000,61.047501,2035
708384033,4,2466.000000,0.996538,0.925503,watch,0.132753,3899.000000,679.686792,603
708385533,3,9524.000000,0.998906,0.926757,save_first,0.132753,3899.000000,2642.930857,21
708386958,4,1947.000000,0.966651,0.907886,watch,0.132753,3899.000000,525.296373,1180
708387933,1,14357.000000,0.000548,0.005518,low_cost_keep,0.132753,3899.000000,18.766185,2774
708390633,3,4219.000000,0.001393,0.005554,low_cost_keep,0.132753,3899.000000,2.029602,6546
708393633,2,4625.000000,0.000544,0.005518,low_cost_keep,0.132753,3899.000000,2.655866,5356
708394908,2,3945.000000,0.001771,0.005570,low_cost_keep,0.132753,3899.000000,1.592273,7304
708396033,1,12257.000000,0.002002,0.005580,low_cost_keep,0.132753,3899.000000,15.518443,3078
708397008,2,4326.000000,0.002444,0.005599,low_cost_keep,0.132753,3899.000000,2.266497,6088
708398283,4,1377.000000,0.008279,0.005856,accept_churn,0.132753,3899.000000,-2.580731,9812
708399858,2,4747.000000,0.000402,0.005512,low_cost_keep,0.132753,3899.000000,2.849252,5031
708402333,2,4782.000000,0.000053,0.005497,low_cost_keep,0.132753,3899.000000,2.885883,4959
708403308,2,4392.000000,0.001995,0.005580,low_cost_keep,0.132753,3899.000000,2.351890,5936
708404883,4,2761.000000,0.026206,0.006723,accept_churn,0.132753,3899.000000,0.568510,8317
708406083,3,5211.000000,0.000317,0.005508,low_cost_keep,0.132753,3899.000000,3.610784,4137
708412758,4,2200.000000,0.947920,0.895016,watch,0.132753,3899.000000,585.710399,988
708414033,3,3730.000000,0.003259,0.005634,accept_churn,0.132753,3899.000000,1.304805,7691
708416433,4,2499.000000,0.992418,0.923272,watch,0.132753,3899.000000,687.177151,561
708419733,3,4739.000000,0.973225,0.912057,save_first,0.132753,3899.000000,1291.671245,277
708421833,4,1139.000000,0.027050,0.006767,accept_churn,0.132753,3899.000000,-2.687854,9884
708423933,2,3203.000000,0.005460,0.005731,accept_churn,0.132753,3899.000000,0.506584,8352
708426483,3,3534.000000,0.000314,0.005508,accept_churn,0.132753,3899.000000,0.839547,8123
708427908,3,4643.000000,0.000372,0.005510,low_cost_keep,0.132753,3899.000000,2.675499,5329
708428958,1,9179.000000,0.009365,0.005906,low_cost_keep,0.132753,3899.000000,11.262170,3193
708431433,4,1463.000000,0.007502,0.005821,accept_churn,0.132753,3899.000000,-2.444963,9716
708433683,2,4410.000000,0.000218,0.005504,low_cost_keep,0.132753,3899.000000,2.281646,6062
708434733,4,1249.000000,0.010258,0.005946,accept_churn,0.132753,3899.000000,-2.771916,9943
708438033,4,2617.000000,0.023883,0.006604,accept_churn,0.132753,3899.000000,0.184586,8509
708442158,2,3801.000000,0.011481,0.006003,accept_churn,0.132753,3899.000000,1.844719,6882
708445608,3,2027.000000,0.030262,0.006936,accept_churn,0.132753,3899.000000,-0.782329,8837
708446808,4,2017.000000,0.519183,0.235506,watch,0.132753,3899.000000,137.504791,1873
708447858,1,15107.000000,0.012963,0.006071,low_cost_keep,0.132753,3899.000000,22.516296,2293
708450033,2,5298.000000,0.000512,0.005516,low_cost_keep,0.132753,3899.000000,3.767727,4040
708451233,3,3707.000000,0.001834,0.005573,accept_churn,0.132753,3899.000000,1.197564,7810
708453408,2,3721.000000,0.047105,0.007895,accept_churn,0.132753,3899.000000,3.812757,4023
708455883,4,1127.000000,0.784353,0.706040,watch,0.132753,3899.000000,233.712103,1658
708459633,4,1604.000000,0.015880,0.006209,accept_churn,0.132753,3899.000000,-2.012079,9362
708462258,1,16563.000000,0.000218,0.005504,low_cost_keep,0.132753,3899.000000,22.348367,2303
708469533,3,3523.000000,0.000107,0.005499,accept_churn,0.132753,3899.000000,0.812087,8146
708472008,3,7632.000000,0.000661,0.005523,low_cost_keep,0.132753,3899.000000,7.644788,3551
708473133,2,4588.000000,0.025038,0.006663,low_cost_keep,0.132753,3899.000000,4.170450,3915
708474333,3,7906.000000,0.005367,0.005727,low_cost_keep,0.132753,3899.000000,8.582169,3405
708476808,4,1047.000000,0.017590,0.006292,accept_churn,0.132753,3899.000000,-3.023829,10089
708478233,2,4348.000000,0.000162,0.005502,low_cost_keep,0.132753,3899.000000,2.176192,6260
708480333,4,2229.000000,0.004925,0.005707,accept_churn,0.132753,3899.000000,-1.183678,8956
708482658,1,15594.000000,0.000488,0.005515,low_cost_keep,0.132753,3899.000000,20.801876,2456
708483708,3,4336.000000,0.007695,0.005830,low_cost_keep,0.132753,3899.000000,2.583819,5497
708486033,4,1782.000000,0.380086,0.094940,watch,0.132753,3899.000000,45.754714,2086
708488208,3,2231.000000,0.008574,0.005870,accept_churn,0.132753,3899.000000,-1.071396,8923
708489258,3,3561.000000,0.001256,0.005548,accept_churn,0.132753,3899.000000,0.927018,8034
708491508,3,3856.000000,0.002370,0.005596,accept_churn,0.132753,3899.000000,1.473336,7465
708492558,4,1107.000000,0.006921,0.005795,accept_churn,0.132753,3899.000000,-3.075325,10107
708494583,2,3731.000000,0.050242,0.008087,accept_churn,0.132753,3899.000000,4.052055,3945
708496833,3,8970.000000,0.999780,0.927215,save_first,0.132753,3899.000000,2490.135798,56
708498033,3,2789.000000,0.991924,0.923001,watch,0.132753,3899.000000,767.274771,378
708499608,2,4042.000000,0.000164,0.005502,low_cost_keep,0.132753,3899.000000,1.671234,7197
708500883,3,8379.000000,0.004458,0.005687,low_cost_keep,0.132753,3899.000000,9.294369,3327
708501783,4,1868.000000,0.967178,0.908227,watch,0.132753,3899.000000,503.970529,1237
708502908,2,3925.000000,0.000501,0.005516,low_cost_keep,0.132753,3899.000000,1.494981,7442
708504783,3,3480.000000,0.012411,0.006046,accept_churn,0.132753,3899.000000,1.311719,7684
708506508,3,4887.000000,0.000287,0.005507,low_cost_keep,0.132753,3899.000000,3.073571,4696
708507483,3,4802.000000,0.008991,0.005889,low_cost_keep,0.132753,3899.000000,3.483124,4231
708508758,4,692.000000,0.999869,0.927261,watch,0.132753,3899.000000,187.499466,1788
708510858,1,15478.000000,0.000744,0.005526,low_cost_keep,0.132753,3899.000000,20.660572,2475
708511983,3,3950.000000,0.000554,0.005518,low_cost_keep,0.132753,3899.000000,1.539024,7371
708513183,2,3078.000000,0.137247,0.015743,watch,0.132753,3899.000000,9.536865,3306
708514383,2,4314.000000,0.000084,0.005498,low_cost_keep,0.132753,3899.000000,2.115808,6382
708515358,3,4216.000000,0.001012,0.005538,low_cost_keep,0.132753,3899.000000,2.004026,6607
708516558,2,4159.000000,0.000205,0.005503,low_cost_keep,0.132753,3899.000000,1.866555,6849
708519108,3,2041.000000,0.210302,0.027393,watch,0.132753,3899.000000,11.772484,3181
708522033,1,15060.000000,0.062216,0.008866,low_cost_keep,0.132753,3899.000000,35.057109,2155
708525108,3,4120.000000,0.000393,0.005511,low_cost_keep,0.132753,3899.000000,1.811991,6947
708528483,4,1387.000000,0.000537,0.005517,accept_churn,0.132753,3899.000000,-2.704196,9896
708532308,2,3000.000000,0.000884,0.005532,accept_churn,0.132753,3899.000000,-0.021018,8596
708534033,2,4726.000000,0.000232,0.005505,low_cost_keep,0.132753,3899.000000,2.804296,5106
708535158,2,8505.000000,0.069306,0.009362,low_cost_keep,0.132753,3899.000000,18.886911,2751
708536283,4,2653.000000,0.977174,0.914479,watch,0.132753,3899.000000,722.833951,450
708538608,3,4058.000000,0.000686,0.005524,low_cost_keep,0.132753,3899.000000,1.724624,7111
708539583,2,3979.000000,0.005019,0.005711,low_cost_keep,0.132753,3899.000000,1.817502,6932
708542283,3,4399.000000,0.003673,0.005652,low_cost_keep,0.132753,3899.000000,2.459394,5729
708543258,4,2045.000000,0.001999,0.005580,accept_churn,0.132753,3899.000000,-1.576724,9120
708545058,3,5136.000000,0.000511,0.005516,low_cost_keep,0.132753,3899.000000,3.499577,4218
708549033,2,5025.000000,0.002820,0.005615,low_cost_keep,0.132753,3899.000000,3.465069,4245
708551508,3,4966.000000,0.001168,0.005544,low_cost_keep,0.132753,3899.000000,3.259918,4447
708553008,2,4711.000000,0.039903,0.007470,low_cost_keep,0.132753,3899.000000,5.556664,3761
708555633,1,15157.000000,0.000700,0.005524,low_cost_keep,0.132753,3899.000000,20.119836,2543
708557358,4,1911.000000,0.033837,0.007129,accept_churn,0.132753,3899.000000,-0.912834,8887
708558408,3,3776.000000,0.000183,0.005502,accept_churn,0.132753,3899.000000,1.233129,7774
708559533,3,4442.000000,0.000468,0.005515,low_cost_keep,0.132753,3899.000000,2.348632,5943
708560733,2,4715.000000,0.000659,0.005523,low_cost_keep,0.132753,3899.000000,2.811752,5090
708563433,3,1616.000000,0.284990,0.047822,watch,0.132753,3899.000000,18.184152,2867
708564858,2,9338.000000,0.994859,0.924601,save_first,0.132753,3899.000000,2585.176647,30
708568983,1,8110.000000,0.000781,0.005528,low_cost_keep,0.132753,3899.000000,8.449148,3428
708572658,1,15039.000000,0.000374,0.005511,low_cost_keep,0.132753,3899.000000,19.861888,2580
708573933,1,14747.000000,0.000575,0.005519,low_cost_keep,0.132753,3899.000000,19.416806,2660
708575058,3,3300.000000,0.680748,0.518448,watch,0.132753,3899.000000,508.263247,1226
708577308,4,1569.000000,0.003345,0.005638,accept_churn,0.132753,3899.000000,-2.346154,9611
708579633,4,1421.000000,0.041179,0.007543,accept_churn,0.132753,3899.000000,-1.784355,9222
708580908,4,1373.000000,0.054679,0.008368,accept_churn,0.132753,3899.000000,-1.553390,9101
708582858,3,2958.000000,0.370194,0.088558,watch,0.132753,3899.000000,73.586397,1996
708584208,4,2367.000000,0.951868,0.897854,watch,0.132753,3899.000000,632.566213,789
708585933,2,4258.000000,0.000091,0.005499,low_cost_keep,0.132753,3899.000000,2.023805,6562
708588408,2,4421.000000,0.000491,0.005515,low_cost_keep,0.132753,3899.000000,2.315164,6013
708590658,4,1619.000000,0.067361,0.009223,accept_churn,0.132753,3899.000000,-0.520286,8753
708593883,4,1813.000000,0.004531,0.005690,accept_churn,0.132753,3899.000000,-1.905319,9296
708595158,4,2389.000000,0.856413,0.807574,watch,0.132753,3899.000000,573.788335,1024
708596283,2,2844.000000,0.004248,0.005677,accept_churn,0.132753,3899.000000,-0.156037,8637
708597558,3,3951.000000,0.003937,0.005664,low_cost_keep,0.132753,3899.000000,1.713356,7133
708600033,3,4958.000000,0.003449,0.005643,low_cost_keep,0.132753,3899.000000,3.392791,4315
708602283,3,3941.000000,0.000489,0.005515,low_cost_keep,0.132753,3899.000000,1.520867,7399
708606633,4,1902.000000,0.991767,0.922914,watch,0.132753,3899.000000,521.614848,1192
708611733,3,4659.000000,0.000978,0.005536,low_cost_keep,0.132753,3899.000000,2.737977,5222
708614058,2,3870.000000,0.000749,0.005526,accept_churn,0.132753,3899.000000,1.416223,7556
708615183,3,4558.000000,0.000153,0.005501,low_cost_keep,0.132753,3899.000000,2.522245,5614
708618933,3,3259.000000,0.000284,0.005507,accept_churn,0.132753,3899.000000,0.383910,8416
708620283,3,2208.000000,0.142293,0.016360,watch,0.132753,3899.000000,5.836788,3730
708621408,2,4173.000000,0.000366,0.005510,low_cost_keep,0.132753,3899.000000,1.898182,6808
708623283,3,2084.000000,0.035384,0.007215,accept_churn,0.132753,3899.000000,-0.489486,8744
708626058,2,4098.000000,0.003396,0.005640,low_cost_keep,0.132753,3899.000000,1.934143,6740
708633783,4,1809.000000,0.901271,0.855912,watch,0.132753,3899.000000,459.503273,1341
708635058,2,4798.000000,0.000123,0.005500,low_cost_keep,0.132753,3899.000000,2.916495,4914
708637758,3,3523.000000,0.019683,0.006394,accept_churn,0.132753,3899.000000,1.757499,7062
708642708,4,1484.000000,0.838908,0.785624,watch,0.132753,3899.000000,344.760006,1487
708644208,2,3355.000000,0.001613,0.005563,accept_churn,0.132753,3899.000000,0.599519,8300
708646233,4,3632.000000,0.077808,0.009993,accept_churn,0.132753,3899.000000,5.888030,3722
708649683,1,15472.000000,0.000594,0.005520,low_cost_keep,0.132753,3899.000000,20.621032,2481
708651933,2,2311.000000,0.024593,0.006640,accept_churn,0.132753,3899.000000,-0.396565,8704
708652908,3,4498.000000,0.000174,0.005502,low_cost_keep,0.132753,3899.000000,2.424423,5799
708653958,4,2608.000000,0.979521,0.915890,watch,0.132753,3899.000000,711.592683,480
708654933,4,2021.000000,0.993929,0.924097,watch,0.132753,3899.000000,555.280138,1092
708655983,4,1353.000000,0.567287,0.308975,watch,0.132753,3899.000000,120.412891,1904
708657033,3,3837.000000,0.000620,0.005521,accept_churn,0.132753,3899.000000,1.355203,7631
708660408,4,2459.000000,0.986700,0.920075,watch,0.132753,3899.000000,673.739622,629
708662583,3,8345.000000,0.999018,0.926816,save_first,0.132753,3899.000000,2315.283139,99
708664008,4,1222.000000,0.607574,0.379211,watch,0.132753,3899.000000,134.018586,1877
708665133,2,4003.000000,0.003250,0.005634,low_cost_keep,0.132753,3899.000000,1.765792,7043
708666258,4,1402.000000,0.002149,0.005586,accept_churn,0.132753,3899.000000,-2.650380,9859
708668283,4,1842.000000,0.029545,0.006898,accept_churn,0.132753,3899.000000,-1.188334,8958
708669408,2,4637.000000,0.004765,0.005700,low_cost_keep,0.132753,3899.000000,2.929349,4899
708670608,2,5125.000000,0.000554,0.005518,low_cost_keep,0.132753,3899.000000,3.484180,4229
708671733,3,4091.000000,0.001283,0.005549,low_cost_keep,0.132753,3899.000000,1.810577,6950
708672708,3,3990.000000,0.017621,0.006293,low_cost_keep,0.132753,3899.000000,2.532807,5596
708679383,2,1775.000000,0.005336,0.005725,accept_churn,0.132753,3899.000000,-1.951335,9319
708680583,2,4940.000000,0.002343,0.005595,low_cost_keep,0.132753,3899.000000,3.291396,4412
708681708,4,1977.000000,0.963019,0.905507,watch,0.132753,3899.000000,532.056027,1162
708682908,2,8644.000000,0.077142,0.009942,low_cost_keep,0.132753,3899.000000,20.781029,2460
708684108,4,2218.000000,0.892511,0.847341,watch,0.132753,3899.000000,558.820905,1086
708687483,4,1711.000000,0.997357,0.925939,watch,0.132753,3899.000000,470.284318,1312
708688608,4,1626.000000,0.000182,0.005502,accept_churn,0.132753,3899.000000,-2.315951,9590
708689958,3,4748.000000,0.000495,0.005516,low_cost_keep,0.132753,3899.000000,2.856494,5022
708692583,4,2312.000000,0.972222,0.911432,watch,0.132753,3899.000000,627.169108,811
708693558,2,7344.000000,0.000337,0.005509,low_cost_keep,0.132753,3899.000000,7.137304,3626
708694983,1,14750.000000,0.000218,0.005504,low_cost_keep,0.132753,3899.000000,19.354837,2674
708697983,2,8766.000000,0.742154,0.633997,save_first,0.132753,3899.000000,1662.284865,204
708699108,3,4890.000000,0.451325,0.154071,save_first,0.132753,3899.000000,221.022098,1698
708701358,2,4000.000000,0.000323,0.005508,low_cost_keep,0.132753,3899.000000,1.610023,7285
708702258,4,2051.000000,0.703780,0.562719,watch,0.132753,3899.000000,341.241199,1489
708703308,4,2183.000000,0.928776,0.880246,watch,0.132753,3899.000000,571.473363,1032
708704433,3,2812.000000,0.000153,0.005501,accept_churn,0.132753,3899.000000,-0.359228,8691
708705783,4,2628.000000,0.958076,0.902180,watch,0.132753,3899.000000,706.279017,503
708706833,4,2466.000000,0.992880,0.923525,watch,0.132753,3899.000000,678.223897,614
